cluster,title,year,bibkey,node,how,verification,tags
01,LMDM — Live Music Diffusion Models: Efficient Fine-Tuning and Post-Training of Interactive Diffusion Music Generators,2026,novack2026lmdm,S5.3,manual,verified,audio-generation real-time sketch controllability DAW-plugin text-conditioning
01,Stemphonic — Stemphonic: All-at-once Flexible Multi-stem Music Generation,2026,wu2026stemphonic,S3.5,manual,verified,audio-generation accompaniment controllability text-conditioning structure
01,LatentFT — Latent Fourier Transform,2026,wang2026latentft,S4.3,manual,verified,editing representation controllability audio-generation
01,"HuangPhilosophy — Anna Huang's articulated philosophy of human-AI co-creation (talks, bios, course)",2024,huang2025creativityinteraction,F5,manual,verified,co-creation-framework creativity-support history
01,MITMTC — MIT Music Technology and Computation Graduate Program & HAI-Res lab,2026,mit2026mtcshowcase,F5,manual,verified,education co-creation-framework real-time history
01,music21 — music21: A Toolkit for Computer-Aided Musicology (Cuthbert),2026,cuthbert2010music21,B2,manual,verified,toolkit notation representation theory-analysis corpus music-as-code
01,"OCW21M383 — MIT OCW 21M.383 Computational Music Theory and Analysis (Spring 2023) and ""Video 12b: Chorales as a Corpus""",2023,cuthbert2023ocw21m383,B5,manual,verified,education theory-analysis corpus notation music-as-code toolkit
01,"Egozy21M385 — 21M.385 / 6.4550 Interactive Music Systems (Eran Egozy, MIT)",,egozy21m385,B5,manual,partial,education real-time game creativity-support
01,ConcertCue — ConcertCue: live program-note streaming for classical concerts,2018,egozy2018concertcue,S2.1,manual,verified,annotation real-time product education
01,Harmonix — Guitar Hero / Rock Band (Harmonix Music Systems) as music-making interfaces,2007,egozy2005harmonix,S5.4,manual,partial,game history creativity-support real-time
01,Hyperscore — Hyperscore: a graphical sketchpad for novice composers,2022,farbood2004hyperscore,S1.3,manual,partial,sketch symbolic-generation notation creativity-support education history controllability
01,Hyperinstruments — Hyperinstruments / Opera of the Future (Tod Machover),2012,machover1992hyperinstruments,F2,manual,partial,history expression-performance creativity-support real-time
01,Vercoe — Barry Vercoe: Csound and the Synthetic Performer,1984,vercoe1984syntheticperformer,F2,manual,partial,history music-as-code accompaniment real-time toolkit
02,G-CLef — Generative Creativity Lab (G-CLef) @ CMU,2023,gclef2026lab,F5,manual,verified,co-creation-framework symbolic-generation evaluation HCI-study history
02,Amuse — Amuse: Human-AI Collaborative Songwriting with Multimodal Inspirations,2024,kim2025amuse,S1.4,manual,verified,multimodal-input image text-conditioning symbolic-generation HCI-study co-creation-framework creativity-support notation controllability annotation
02,HookpadAria — Hookpad Aria: A Copilot for Songwriters,2024,donahue2024hookpadaria,E3,manual,verified,product symbolic-generation infilling notation co-creation-framework DAW-plugin
02,AMT — Anticipatory Music Transformer,2024,thickstun2024anticipatory,S3.2,manual,verified,symbolic-generation infilling controllability accompaniment representation
02,Decomposer — Decomposer: Learning to Decompile Symbolic Music to Programs,2026,kim2026decomposer,S3.6,manual,verified,music-as-code representation symbolic-generation editing structure LLM-agent
02,MusicControlNet — Music ControlNet: Multiple Time-varying Controls for Music Generation,2024,wu2024musiccontrolnet,S3.8,manual,verified,audio-generation controllability sketch text-conditioning editing multimodal-input
02,SingSong — SingSong: Generating Musical Accompaniments from Singing,2023,donahue2023singsong,S1.2,manual,verified,humming audio-generation accompaniment multimodal-input
02,SheetSage — Melody Transcription via Generative Pre-training,2022,donahue2022sheetsage,S1.1,manual,verified,transcription notation dataset representation toolkit
02,PianoGenie — Piano Genie,2019,donahue2019pianogenie,S5.3,manual,verified,real-time expression-performance symbolic-generation creativity-support history
02,LiveMusicAgents — A Design Space for Live Music Agents,2026,kim2026designspace,F5,manual,verified,co-creation-framework real-time accompaniment evaluation
02,MultiVerse — MultiVerse: A Creator-Centered Approach to Steering Context-Adaptive Lyrics,2026,wang2026multiverse,E1,manual,verified,co-creation-framework controllability HCI-study text-conditioning
02,MusicArena — Music Arena: Live Evaluation for Text-to-Music,2025,kim2025musicarena,E4,manual,verified,evaluation audio-generation dataset
02,MAD — Aligning Text-to-Music Evaluation with Human Preferences,2025,huang2025aligning,E4,manual,verified,evaluation audio-generation dataset
02,JLTR — Just Label the Repeats for In-The-Wild Audio-to-Score Alignment,2024,bukey2024justlabel,S2.5,manual,verified,annotation notation transcription structure HCI-study
02,SynTheory — Do Music Generation Models Encode Music Theory?,2024,wei2024musictheory,E6,manual,verified,theory-analysis evaluation dataset representation
02,ReaLchords — Adaptive Accompaniment with ReaLchords,2024,wu2024realchords,S5.3,manual,verified,real-time accompaniment symbolic-generation mixed-initiative
02,MagentaRT — Live Music Models (Magenta RealTime / Lyria RealTime; Magenta RealTime 2),2025,lyria2025livemusic,S3.8,manual,verified,audio-generation real-time DAW-plugin controllability product
02,MIDInfinite — Local Deployment of Large-Scale Music AI Models on Commodity Hardware,2024,zhou2024midinfinite,B3,manual,verified,toolkit symbolic-generation real-time
02,"UnifiedScoreTranslation — Unified Cross-modal Translation of Score Images, Symbolic Music, and Performance Audio",2025,jung2025unified,S1.1,manual,verified,representation transcription notation audio-generation dataset multimodal-input
02,MusicAwareVA — Towards Music-Aware Virtual Assistants,2024,wang2024musicaware,S5.4,manual,verified,HCI-study audio-generation accompaniment
02,RISE — RISE: Adaptive Music Playback for Realtime Intensity Synchronization with Exercise,2025,wang2025rise,S5.4,manual,verified,structure editing real-time HCI-study
02,FM4Music — Foundation Models for Music: A Survey,2024,ma2024foundation,F4,manual,partial,representation evaluation ethics-legal
02,"CMU-Udio-2026 — ""Generative AI and Musical Creativity"" (CMU news, Jan 30 2026: ""As AI-Generated Music Advances, Humans Still Lead in Creativity"")",2026,oros2026cmu,E1,manual,verified,HCI-study evaluation creativity-support ethics-legal
02,Dannenberg1984 — An On-Line Algorithm for Real-Time Accompaniment,1984,dannenberg1984online,F2,manual,verified,history accompaniment real-time notation
02,HCMP — Human-Computer Music Performance (HCMP) programme,2014,dannenberg2014hcmp,S5.1,manual,verified,history accompaniment real-time structure notation representation
02,Nyquist-Audacity — Nyquist (composition/synthesis language) and Audacity (editor),2000,dannenberg1997nyquist,S3.6,manual,verified,music-as-code toolkit history editing product
02,MusicFrameworks — Controllable Deep Melody Generation via Hierarchical Music Structure Representation,2021,dai2021controllable,S3.4,manual,verified,symbolic-generation structure controllability representation editing
02,WhatIsMissing — What Is Missing in Deep Music Generation? A Study of Repetition and Structure in Popular Music,2022,dai2022missing,S2.2,manual,verified,theory-analysis structure evaluation corpus
02,PersonalisedImitation — Personalised Popular Music Generation Using Imitation and Structure,2021,dai2023personalised,S3.4,manual,partial,symbolic-generation structure style-transfer controllability
02,"StructureInterconnections — The Interconnections of Music Structure, Harmony, Melody, Rhythm, and Predictivity",2024,dai2024interconnections,S2.2,manual,verified,theory-analysis structure corpus representation
02,ExpressEdit — ExpressEdit: Video Editing with Natural Language and Sketching,2024,tilekbay2024expressedit,S2.4,manual,verified,annotation sketch multimodal-input editing LLM-agent HCI-study video mixed-initiative
02,REAL — REAL Pipeline (GitHub: This-Goober/REAL),2026,thisgoober2026real,S2.4,manual,verified,LLM-agent video editing toolkit co-creation-framework product
02,DrawAndListen — Draw and Listen! A Sketch-Based System for Music Inpainting,2022,benetatos2022drawlisten,S1.3,manual,verified,sketch infilling symbolic-generation HCI-study annotation
02,MuskitsESPnet — Muskits-ESPnet: A Comprehensive Toolkit for Singing Voice Synthesis in New Paradigm,2022,wu2024muskitsespnet,B2,manual,partial,toolkit audio-generation notation transcription
02,JukeMIR — Codified Audio Language Modeling Learns Useful Representations for Music Information Retrieval,2021,castellon2021codified,S3.10,manual,partial,representation transcription evaluation
02,CMU-Other — Other CMU music/creativity pointers (brief),2025,cmu2025musictech,F5,manual,partial,history toolkit theory-analysis
03,MusicTransformer — Music Transformer: Generating Music with Long-Term Structure,2018,huang2018musictransformer,S3.4,manual,verified,symbolic-generation representation structure
03,REMI / PopMusicTransformer — Pop Music Transformer: Beat-based Modeling and Generation of Expressive Pop Piano Compositions,2020,huang2020popmusictransformer,S3.1,manual,verified,representation symbolic-generation
03,CPWord — Compound Word Transformer: Learning to Compose Full-Song Music over Dynamic Directed Hypergraphs,2021,hsiao2021compoundword,S3.1,manual,verified,representation symbolic-generation
03,Octuple/MusicBERT + MidiBERT-Piano — MusicBERT: Symbolic Music Understanding with Large-Scale Pre-Training; BERT-like Pre-training for Symbolic Piano Music Classification Tasks,2024,zeng2021musicbert,S3.1,manual,verified,representation theory-analysis dataset
03,folk-rnn — Music transcription modelling and composition using deep learning,2016,sturm2016folkrnn,F1,manual,verified,symbolic-generation representation notation creativity-support history
03,MidiTok — MidiTok: A Python package for MIDI file tokenization,2025,fradet2021miditok,B2,manual,verified,toolkit representation
03,Aria-MIDI + Aria — Aria-MIDI: A Dataset of Piano MIDI Files for Symbolic Music Modeling; Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,2025,bradshaw2025ariamidi,B4,manual,verified,dataset symbolic-generation representation transcription expression-performance
03,LeSurvey — Natural Language Processing Methods for Symbolic Music Generation and Information Retrieval: a Survey,2024,le2025nlpsurvey,F4,manual,verified,representation symbolic-generation evaluation
03,"JiSurvey — A Survey on Deep Learning for Symbolic Music Generation: Representations, Algorithms, Evaluations, and Challenges",2011,ji2023survey,F4,manual,partial,symbolic-generation evaluation representation
03,DeepBach — DeepBach: a Steerable Model for Bach Chorales Generation,2017,hadjeres2017deepbach,S3.2,manual,verified,symbolic-generation infilling editing notation controllability history
03,Coconet — Counterpoint by Convolution,2017,huang2017coconet,S3.2,manual,verified,infilling editing symbolic-generation accompaniment
03,InpaintNet — Learning to Traverse Latent Spaces for Musical Score Inpainting,2019,pati2019inpaintnet,S3.2,manual,verified,infilling editing symbolic-generation
03,SketchNet — Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,2020,chen2020sketchnet,S1.3,manual,verified,sketch infilling controllability symbolic-generation
03,MMM — MMM: Exploring Conditional Multi-Track Music Generation with the Transformer,2020,ens2020mmm,S3.2,manual,verified,infilling editing controllability symbolic-generation representation
03,XLNetInfill — Variable-Length Music Score Infilling via XLNet and Musically Specialized Positional Encoding,2021,chang2021xlnet,S3.2,manual,verified,infilling editing symbolic-generation
03,MusIAC — MusIAC: An extensible generative framework for Music Infilling Applications with multi-level Control,2022,guo2022musiac,S3.2,manual,verified,infilling controllability editing symbolic-generation
03,AMT — Anticipatory Music Transformer,2023,thickstun2024anticipatory,S3.2,manual,verified,infilling accompaniment controllability symbolic-generation
03,ComposersAssistant — Composer's Assistant: An Interactive Transformer for Multi-Track MIDI Infilling; Composer's Assistant 2: Interactive Multi-Track MIDI Infilling with Fine-Grained User Control,2024,malandro2023composersassistant,S3.2,manual,verified,infilling editing controllability DAW-plugin co-creation-framework symbolic-generation
03,MIDI-GPT — MIDI-GPT: A Controllable Generative Model for Computer-Assisted Multitrack Music Composition,2025,pasquier2025midigpt,S3.2,manual,verified,infilling editing controllability DAW-plugin product symbolic-generation
03,MIDI-RWKV — Adaptable Symbolic Music Infilling with MIDI-RWKV (a.k.a. Personalizable Long-Context Symbolic Music Infilling with MIDI-RWKV),2025,zhouzheng2025midirwkv,S3.2,manual,verified,infilling editing style-transfer controllability symbolic-generation
03,Polyffusion — Polyffusion: A Diffusion Model for Polyphonic Score Generation with Internal and External Controls,2023,min2023polyffusion,S3.2,manual,verified,infilling controllability accompaniment symbolic-generation representation
03,GETMusic — GETMusic: Generating Any Music Tracks with a Unified Representation and Diffusion Framework,2023,lv2023getmusic,S3.2,manual,verified,infilling accompaniment symbolic-generation representation
03,NotThatGroove — Not that Groove: Zero-Shot Symbolic Music Editing (v2: Zero-Shot Symbolic Music Editing as a Reasoning Task for Large Language Models),2026,zhang2025groove,S4.2,manual,verified,editing LLM-agent text-conditioning evaluation symbolic-generation
03,Museformer — Museformer: Transformer with Fine- and Coarse-Grained Attention for Music Generation,2022,yu2022museformer,S3.4,manual,verified,structure symbolic-generation
03,FIGARO — FIGARO: Generating Symbolic Music with Fine-Grained Artistic Control,2022,vonrutte2023figaro,S2.3,manual,verified,controllability symbolic-generation style-transfer annotation representation
03,MuseCoco — MuseCoco: Generating Symbolic Music from Text,2023,lu2023musecoco,S3.3,manual,verified,text-conditioning controllability symbolic-generation
03,MuseMorphose — MuseMorphose: Full-Song and Fine-Grained Piano Music Style Transfer with One Transformer VAE,2021,wu2023musemorphose,S4.2,manual,verified,style-transfer editing controllability symbolic-generation
03,FaderNets — Music FaderNets: Controllable Music Generation Based on High-Level Features via Low-Level Feature Modelling,2020,tan2020fadernets,S3.3,manual,verified,controllability style-transfer editing symbolic-generation
03,MMT — Multitrack Music Transformer,2023,dong2023mmt,S3.1,manual,verified,symbolic-generation representation controllability real-time
03,SymPAC — SymPAC: Scalable Symbolic Music Generation with Prompts and Constraints,2024,chen2024sympac,S3.4,manual,verified,controllability symbolic-generation structure transcription
03,Text2midi — Text2midi: Generating Symbolic Music from Captions,2025,bhandari2025text2midi,S3.3,manual,verified,text-conditioning symbolic-generation dataset
03,MetaScore — Generating Symbolic Music from Natural Language Prompts using an LLM-Enhanced Dataset,2024,xu2025metascore,B4,manual,verified,dataset text-conditioning notation symbolic-generation
03,MIDI-LLM — MIDI-LLM: Adapting Large Language Models for Text-to-MIDI Music Generation,2025,wu2025midillm,S3.6,manual,verified,text-conditioning LLM-agent symbolic-generation HCI-study
03,SCG — Symbolic Music Generation with Non-Differentiable Rule Guided Diffusion,2024,huang2024scg,S3.3,manual,verified,controllability editing symbolic-generation
03,LC-Diff — Conditional Diffusion as Latent Constraints for Controllable Symbolic Music Generation,2025,petteno2025lcdiff,S3.3,manual,verified,controllability symbolic-generation
03,Diff-Symbo — Diff-Symbo: Text-Controlled Long-Duration Symbolic Music Generation Using Autoregressive Latent Diffusion Model,2026,lin2026diffsymbo,S3.3,manual,verified,text-conditioning symbolic-generation
03,ChatMusician — ChatMusician: Understanding and Generating Music Intrinsically with LLM,2024,yuan2024chatmusician,S3.6,manual,verified,symbolic-generation LLM-agent text-conditioning notation evaluation
03,MuPT — MuPT: A Generative Symbolic Music Pretrained Transformer,2025,qu2024mupt,S3.6,manual,verified,symbolic-generation representation notation LLM-agent
03,NotaGen — NotaGen: Advancing Musicality in Symbolic Music Generation with Large Language Model Training Paradigms,2025,wang2025notagen,S3.6,manual,verified,symbolic-generation notation controllability LLM-agent
03,MelodyT5 — MelodyT5: A Unified Score-to-Score Transformer for Symbolic Music Processing,2024,wu2024melodyt5,S3.6,manual,verified,symbolic-generation accompaniment notation structure
03,FunctionAlignment — Versatile Symbolic Music-for-Music Modeling via Function Alignment,2025,jiang2025functionalignment,S3.5,manual,verified,symbolic-generation accompaniment theory-analysis controllability
03,HowFarLLMs — How Far Can Pretrained LLMs Go in Symbolic Music? Controlled Comparisons of Supervised and Preference-based Adaptation,2026,kumar2026howfar,E6,manual,verified,LLM-agent evaluation symbolic-generation notation
03,SymbolicLLMBenchmarks — ZIQI-Eval; ABC-Eval; (WildScore),2025,li2024ziqieval,E6,manual,verified,evaluation LLM-agent notation theory-analysis
03,WholeSong — Whole-Song Hierarchical Generation of Symbolic Music Using Cascaded Diffusion Models,2024,wang2024wholesong,S3.4,manual,verified,structure symbolic-generation controllability accompaniment co-creation-framework
03,MusicFrameworks — Controllable Deep Melody Generation via Hierarchical Music Structure Representation; What is missing in deep music generation? A study of repetition and structure in popular music,2022,dai2021controllable,S3.4,manual,verified,structure controllability symbolic-generation editing
03,StructuralMelodyInfilling — Melody Infilling with User-Provided Structural Context,2022,tan2022melodyinfilling,S2.3,manual,verified,infilling structure annotation symbolic-generation
03,AccoMontage — AccoMontage: Accompaniment Arrangement via Phrase Selection and Style Transfer; AccoMontage2: A Complete Harmonization and Accompaniment Arrangement System,2022,zhao2021accomontage,S3.5,manual,verified,accompaniment style-transfer structure symbolic-generation controllability
03,QandA — Q&A: Query-Based Representation Learning for Multi-Track Symbolic Music re-Arrangement,2023,zhao2023qa,S3.5,manual,verified,accompaniment style-transfer symbolic-generation controllability
03,StructuredArrangement — Structured Multi-Track Accompaniment Arrangement via Style Prior Modelling,2023,zhao2024structured,S3.5,manual,verified,accompaniment structure symbolic-generation controllability style-transfer
03,BstarHarmonization — Incorporating Structure and Chord Constraints in Symbolic Transformer-based Melodic Harmonization,2025,kaliakatsospapakostas2025harmonization,S3.5,manual,verified,accompaniment controllability editing symbolic-generation notation
03,VirtuosoNet — VirtuosoNet: A Hierarchical RNN-based System for Modeling Expressive Piano Performance,2019,jeong2019virtuosonet,S3.7,manual,verified,expression-performance notation controllability
03,MIDI-DDSP — MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling,2022,wu2022mididdsp,S3.7,manual,verified,expression-performance audio-generation controllability editing
03,ScorePerformer / PianoFlow — ScorePerformer: Expressive Piano Performance Rendering with Fine-Grained Control; SyMuPe: Affective and Controllable Symbolic Music Performance,2025,borovik2023scoreperformer,S3.7,manual,verified,expression-performance controllability annotation text-conditioning real-time
03,DExter / RenderBox — DExter: Learning and Controlling Performance Expression with Diffusion Models; RenderBox: Expressive Performance Rendering with Text Control,2025,zhang2024dexter,S3.7,manual,verified,expression-performance controllability text-conditioning audio-generation
04,Jukebox — Jukebox: A Generative Model for Music,2020,dhariwal2020jukebox,S3.9,manual,verified,audio-generation history text-conditioning
04,MusicLM — MusicLM: Generating Music From Text,2023,agostinelli2023musiclm,S3.9,manual,verified,audio-generation text-conditioning humming multimodal-input dataset evaluation
04,Noise2Music — Noise2Music: Text-conditioned Music Generation with Diffusion Models,2023,huang2023noise2music,S3.9,manual,verified,audio-generation text-conditioning dataset
04,MusicGen — Simple and Controllable Music Generation,2023,copet2023musicgen,S3.9,manual,verified,audio-generation text-conditioning controllability humming toolkit
04,AudioLDM — AudioLDM: Text-to-Audio Generation with Latent Diffusion Models,2023,liu2023audioldm,S3.9,manual,verified,audio-generation text-conditioning editing infilling
04,AudioLDM 2 — AudioLDM 2: Learning Holistic Audio Generation with Self-supervised Pretraining,2023,liu2024audioldm2,S3.9,manual,verified,audio-generation text-conditioning representation
04,StableAudio2 — Long-form Music Generation with Latent Diffusion (Stable Audio 2.0),2024,evans2024longform,S3.9,manual,verified,audio-generation text-conditioning structure style-transfer controllability
04,StableAudioOpen — Stable Audio Open,2024,evans2024stableaudioopen,S3.9,manual,verified,audio-generation text-conditioning ethics-legal toolkit
04,JEN-1 — JEN-1: Text-Guided Universal Music Generation with Omnidirectional Diffusion Models,2024,li2023jen1,S3.9,manual,verified,audio-generation infilling editing text-conditioning
04,Mustango — Mustango: Toward Controllable Text-to-Music Generation,2024,melechovsky2024mustango,S3.8,manual,verified,audio-generation controllability text-conditioning dataset theory-analysis
04,MusicFlow — MusicFlow: Cascaded Flow Matching for Text Guided Music Generation,2024,prajwal2024musicflow,S3.9,manual,verified,audio-generation infilling text-conditioning
04,Riffusion → ProducerAI → Google Flow Music — Riffusion (spectrogram Stable Diffusion) and its 2025–2026 commercial afterlife,2026,forsgren2022riffusion,S3.9,manual,verified,audio-generation product editing history LLM-agent
04,Suno — Suno (v3 → v3.5 → v4 → v4.5 → v5 → v5.5) and Suno Studio,2026,suno2026,C1,manual,verified,audio-generation product editing text-conditioning ethics-legal DAW-plugin
04,Udio — Udio (v1 → v1.5 → v1.5 Allegro) and the 2025 UMG/WMG walled-garden pivot,2025,udio2025,C1,manual,verified,audio-generation product editing infilling ethics-legal
04,Lyria2-Sandbox — Google DeepMind Lyria / Lyria 2 / Music AI Sandbox / MusicFX DJ,2025,google2025lyria2,C1,manual,verified,audio-generation product editing infilling real-time controllability
04,"LyriaRT-Lyria3 — Lyria RealTime API, Lyria 3 / 3.5, Gemini integration (2025–2026)",2026,google2025lyriarealtime,C1,manual,verified,audio-generation real-time product controllability multimodal-input image
04,AdobeMusicGenAIControl — Adobe Project Music GenAI Control,2024,adobe2024musicgenaicontrol,S4.3,manual,verified,audio-generation editing controllability product
04,ElevenMusic — ElevenLabs Music (Eleven Music v1 Aug 2025; Music v2 2026),2026,elevenlabs2025music,C1,manual,verified,audio-generation product editing infilling ethics-legal
04,Mureka — Mureka (Kunlun Tech / Skywork AI),2025,mureka2025,C1,manual,partial,audio-generation product
04,StableAudio25 — Stable Audio 2.5 (enterprise; inpainting; ARC post-training),2025,novack2025arc,S4.3,manual,verified,audio-generation editing infilling product real-time
04,SpliceLANDR — Splice and LANDR AI features (context only),2014,splice2025landr,C1,manual,unverified,product DAW-plugin
04,MAGNeT — Masked Audio Generation using a Single Non-Autoregressive Transformer,2024,ziv2024magnet,S3.9,manual,verified,audio-generation infilling text-conditioning
04,MusicGenStyle — Audio Conditioning for Music Generation via Discrete Bottleneck Features (MusicGen-Style),2024,rouard2024musicgenstyle,S1.5,manual,verified,audio-generation style-transfer multimodal-input controllability
04,JASCO — Joint Audio and Symbolic Conditioning for Temporally Controlled Text-to-Music Generation,2024,tal2024jasco,S3.8,manual,verified,audio-generation controllability symbolic-generation accompaniment text-conditioning
04,MelodyFlow — High Fidelity Text-Guided Music Editing via Single-Stage Flow Matching,2024,lelan2024melodyflow,S4.3,manual,verified,audio-generation editing style-transfer
04,MusicGenStem — MusicGen-Stem: Multi-stem Music Generation and Edition through Autoregressive Modeling,2025,rouard2025musicgenstem,S3.9,manual,verified,audio-generation accompaniment editing mixed-initiative representation
04,ACEStep1 — ACE-Step: A Step Towards Music Generation Foundation Model (v1.0),2025,gong2025acestep,S3.9,manual,verified,audio-generation editing infilling text-conditioning toolkit
04,ACEStep15 — ACE-Step 1.5: Pushing the Boundaries of Open-Source Music Generation,2026,gong2026acestep15,S3.9,manual,verified,audio-generation editing infilling accompaniment LLM-agent toolkit DAW-plugin
04,YuE — YuE: Scaling Open Foundation Models for Long-Form Music Generation,2025,yuan2025yue,S3.9,manual,verified,audio-generation text-conditioning accompaniment multimodal-input
04,DiffRhythm — DiffRhythm: Blazingly Fast and Embarrassingly Simple End-to-End Full-Length Song Generation with Latent Diffusion,2025,ning2025diffrhythm,S3.9,manual,verified,audio-generation text-conditioning structure editing
04,SongGen — SongGen: A Single Stage Auto-regressive Transformer for Text-to-Song Generation,2025,liu2025songgen,S3.9,manual,verified,audio-generation text-conditioning accompaniment toolkit
04,"HeartMuLa — HeartMuLa family (HeartMuLa, HeartCodec, HeartTranscriptor, HeartCLAP)",2026,heartmula2026,S3.9,manual,verified,audio-generation text-conditioning toolkit transcription
04,"MagentaRT — Magenta RealTime (v1, Jun 2025) / Magenta RealTime 2 (Jun 2026) and ""Live Music Models""",2026,lyria2025livemusic,S3.8,manual,verified,audio-generation real-time controllability symbolic-generation accompaniment toolkit
04,MusicControlNet — Music ControlNet: Multiple Time-Varying Controls for Music Generation,2023,wu2024musiccontrolnet,S3.8,manual,verified,audio-generation controllability annotation expression-performance
04,CocoMulla — Content-based Controls for Music Large Language Modeling (Coco-Mulla),2024,lin2023cocomulla,S3.8,manual,verified,audio-generation controllability symbolic-generation accompaniment
04,DITTO — DITTO: Diffusion Inference-Time T-Optimization for Music Generation / DITTO-2,2024,novack2024ditto,S3.8,manual,verified,audio-generation controllability editing infilling structure annotation
04,MusicMagus — MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,2024,zhang2024musicmagus,S4.3,manual,verified,audio-generation editing style-transfer
04,ZETA-ZEUS — Zero-Shot Unsupervised and Text-Based Audio Editing Using DDPM Inversion,2024,manor2024zeta,S4.3,manual,verified,audio-generation editing style-transfer
04,AUDIT — AUDIT: Audio Editing by Following Instructions with Latent Diffusion Models,2023,wang2023audit,S4.3,manual,verified,audio-generation editing infilling text-conditioning
